  super_book_code,  super_book_title,  keywords,  parisian_keyword,Illegality
spbk0010037,De bello gallico et civili commentarii,,,Permitted work (permission simple)
spbk0010038,Candidatus rhetoricae,,,Permitted work (permission simple)
spbk0010039,Cantiques de Marseille,,,Permitted work (permission simple)
spbk0010040,Cantiques spirituels à l'usage des catéchismes et des écoles chrétiennes,,,Permitted work (permission simple)
spbk0010041,Cantiques spirituels sur les principaux mystères de notre religion,,,Permitted work (permission simple)
spbk0010042,Cantiques syllabaires françois,,,Permitted work (permission simple)
spbk0010043,Caractères de la charité,,,Permitted work (permission simple)
spbk0010045,"Petit catéchisme historique: contenant en abrégé l'histoire sainte, & la doctrine chrétienne",,,Permitted work (permission simple)
spbk0010048,"Catéchisme, ou Instructions chrétiennes pour les nouveaux et nouvelles catholiques, par demandes et par réponses, avec prières du matin, etc",,,Permitted work (permission simple)
spbk0010049,Catechismus vonvilii tridentini,,,Permitted work (permission simple)
spbk0010050,Chemin du ciel,,,Permitted work (permission simple)
spbk0010051,"Chemin du ciel (le), ou la Voie que doivent suive les enfants pour y arriver",,,Permitted work (permission simple)
spbk0010052,"Chrétien intérieur (le), ou Sentiments que doivent avoir les chrétiens avec J.C. [Jésus Christ]",,,Permitted work (permission simple)
spbk0010053,"Chronologie des Etats-généraux où le tiers état est compris depuis l'an C. CCCXII jusqu'à MDCXV, au roi trés chrétien Louis XIII, p. [par] Savaron",,,Permitted work (permission simple)
spbk0010054,De natura deorum,,,Permitted work (permission simple)
spbk0010055,Ciceronis Libri rhetorici,,,Permitted work (permission simple)
spbk0010056,Oratio pro Archiâ Poetâ,,,Permitted work (permission simple)
spbk0010057,Oratio pro Marcello,,,Permitted work (permission simple)
spbk0010058,Ciceronis Orationes in Catilinam,,,Permitted work (permission simple)
spbk0010059,Ciceronis Paradoxa ad M. Brutum,,,Permitted work (permission simple)
spbk0010060,Ciceronis Sententiae selectae,,,Permitted work (permission simple)
spbk0010061,Ciceronis opera philosophica,,,Permitted work (permission simple)
spbk0010062,Civilité (La) qui se pratique en France parmi les honnêtes gens,,,Permitted work (permission simple)
spbk0010063,Code civil,,,Permitted work (permission simple)
spbk0010064,Code criminel,,,Permitted work (permission simple)
spbk0010065,Code marchand,,,Permitted work (permission simple)
spbk0010066,Collection des opuscules de M. l'abbé Fleury,,,Permitted work (permission simple)
spbk0010067,"Colloques du calvaire, ou Méditation[s] sur la passion",,,Permitted work (permission simple)
spbk0010068,Combat spirituel,,,Permitted work (permission simple)
spbk0010069,Commentaires sur l'édit du controlé,,,Permitted work (permission simple)
spbk0010070,"Compendium theologie universae quo ad usum examinandorum colegit R.P. Thomas, in provincia Lotharingiae capucinorum definitor, etc",,,Permitted work (permission simple)
spbk0010071,Concilium tridentinum,,,Permitted work (permission simple)
spbk0010072,"Conciones ex Salustii, Livii Taciti et Curtii collectae",,,Permitted work (permission simple)
spbk0010073,Conduite des âmes dans la voie du salut,,,Permitted work (permission simple)
spbk0010074,Conduite des confesseurs dans le tribunal de la pénitence selon les instructions de Charles Boromée et imprimée par ordre de l'évêque de B.,,,Permitted work (permission simple)
spbk0010075,Conduite d'une âme chrétienne,,,Permitted work (permission simple)
spbk0010076,Conduite d'une famille chrétienne formée sur celle de la sainte famille,,,Permitted work (permission simple)
spbk0010077,Conduite pour la confession et la communion,,,Permitted work (permission simple)
spbk0010078,"Conduite pour la confession et la communion pour les âmes soigneuses de leur salut, par saint François de Salles",,,Permitted work (permission simple)
spbk0010079,Conférences du père Daniel,,,Permitted work (permission simple)
spbk0010080,Confessions de Saint-Augustin,,,Permitted work (permission simple)
spbk0010081,"Conjuration de Venise, par l'abbé Saint-Réal",,,Permitted work (permission simple)
spbk0010082,Considérations chrétiennes en forme de méditiations pd. [pendant] tous les jours du mois,,,Permitted work (permission simple)
spbk0010083,"Constitutions de l'Angleterre, etc, par M. De Lolme",,,Permitted work (permission simple)
spbk0010084,"Contes à rire (les), ou Nouvelles récréations françoises",,,Permitted work (permission simple)
spbk0010085,Contrat (le) de l'homme avec dieu,,,Permitted work (permission simple)
spbk0010086,Conversations sur plusieurs sujets de morale dédiées à Saint-Cyr,,,Permitted work (permission simple)
spbk0010088,Corpus juris civilis [quo jus universum Justinianeum comprehenditur] cum notis Gothofredi,,,Permitted work (permission simple)
spbk0010089,Couronne de la vierge Marie,,,Permitted work (permission simple)
spbk0010090,Cours de prônes à l'usage des curés de la campagne,,,Permitted work (permission simple)
spbk0010091,Coutume d'Amiens commentée par Ricard,,,Permitted work (permission simple)
spbk0010092,Coutume de Paris,,,Permitted work (permission simple)
spbk0010094,Coutume générale de l'évéché de Metz et pays messin,,,Permitted work (permission simple)
spbk0010095,Coutume générale de Lorraine,,,Permitted work (permission simple)
spbk0010096,"Coutumes des pays, comté et baillage du Grand Perche, nouvelle édition revue et augmentée",,,Permitted work (permission simple)
spbk0010097,Coutumes générales et locales du pays et duché du Bourbonnais,,,Permitted work (permission simple)
spbk0010098,Dante (Le),,,Permitted work (permission simple)
spbk0010099,De favole novelle dell dottore Lorenzo Pignatelli,,,Permitted work (permission simple)
spbk0010100,"De la sobriété et de ses avantages, ou Conseil et moyens faciles, etc",,,Permitted work (permission simple)
spbk0010101,De officiis scholasticorum,,,Permitted work (permission simple)
spbk0010102,"Décisions du droit canonique et français par ordre alphabétique, etc, par Berton",,,Permitted work (permission simple)
spbk0010103,"Décisions du droit civil canonique et français par ordre alphabétique, etc, par Fromental",,,Permitted work (permission simple)
spbk0010104,Psalms / Psaumes / Psautier (Catholic editions) [Bible],,,Permitted work (permission simple)
spbk0010105,"Demosthenis de Corona Philipicae [Philippicae], olynthiaia [Olynthiacae]",,,Permitted work (permission simple)
spbk0010106,"Désespérés (Les), histoire héroïque, traduite de l'italien de Jean Ambroise Marini",,,Permitted work (permission simple)
spbk0010107,Devoirs des filles chrétiennes,,,Permitted work (permission simple)
spbk0010109,"Devoirs du chrétien (les) envers dieu et les moyens, etc",,,Permitted work (permission simple)
spbk0010110,Devoirs et exercices du chrétien,,,Permitted work (permission simple)
spbk0010111,"Devota exposito literalis et mistica totius missae ac caeremoniarum ejus ex variis auctoribus collecta,etc a R.P.P.F. Dioniscio [Dionisco?] a conceptione carm. exal. sac theologia lectore",,,Permitted work (permission simple)
spbk0010112,Dialogues de Lucien,,,Permitted work (permission simple)
spbk0010113,"Dictionnaire de droit et de pratique, par Ferrière",,,Permitted work (permission simple)
spbk0010114,Dictionnaire de pratique,,,Permitted work (permission simple)
spbk0010115,Dictionnaire des commençants,,,Permitted work (permission simple)
spbk0010117,Dictionnaire français et latin de Le Brun,,,Permitted work (permission simple)
spbk0010118,Dictionnaire grammatical,,,Permitted work (permission simple)
spbk0010119,Dictionnaire gréc,,,Permitted work (permission simple)
spbk0010120,"Dictionnaire historique, critique, &c de la Bible de dom Calmet",,,Permitted work (permission simple)
spbk0010121,Dictionnaire portatif des cas de conscience,,,Permitted work (permission simple)
spbk0010122,"Dictionnaire apostolique, par le père Montargon",,,Permitted work (permission simple)
spbk0010123,Dictonnaire botanique,,,Permitted work (permission simple)
spbk0010124,Directeur dans les voies du salut,,,Permitted work (permission simple)
spbk0010125,"Directeur portatif (le), apprenant la pratique des vertus chrétiennes",,,Permitted work (permission simple)
spbk0010126,"Discours familiers sur divers sujets de morale, par Henry, curé de Surice",,,Permitted work (permission simple)
spbk0010127,"Diurnal, ou Heures à l'usage des soeurs hospitalières de saint Charles à Nancy",,,Permitted work (permission simple)
spbk0010128,Divina comedia (La) di Dante Alighieri,,,Permitted work (permission simple)
spbk0010129,"Education des enfans, tradon [traduction] anglaise de Locke",,,Permitted work (permission simple)
spbk0010130,"Emmanueles Alvares Rudimenta lingua latinae grammatica sintaxis et prosodia, avec un traité de al langue greque, &c",,,Permitted work (permission simple)
spbk0010132,Entretiens avec Jésus-Christ dans le Très-Saint Sacrement de l'Autel,,,Permitted work (permission simple)
spbk0010133,"Entretiens spirituels pout instruire, consoler et exhorter les malades, etc., par Pontas",,,Permitted work (permission simple)
spbk0010134,"Epitome juris et legum romanorum, etc, autore Montvallon",,,Permitted work (permission simple)
spbk0010135,"Epîtres choisies de Cicéron, latin et français",,,Permitted work (permission simple)
spbk0010138,Etrennes chrétiennes,,,Permitted work (permission simple)
spbk0010139,Etrennes dévotes (les),,,Permitted work (permission simple)
spbk0010140,Etrennes du jour contenant la messe et prières pour la confession,,,Permitted work (permission simple)
spbk0010141,Etrennes spirituelles,,,Permitted work (permission simple)
spbk0010142,Eucolage à l'usage de Rome et d'Amiens,,,Permitted work (permission simple)
spbk0010145,Evénemens touchant la confession mal faite,,,Permitted work (permission simple)
spbk0010146,"Exercice de piété pour la communion, par le père Griffet",,,Permitted work (permission simple)
spbk0010147,Exercice pratique pour la confession et la communion,,,Permitted work (permission simple)
spbk0010148,Exercice[s] de la vie chrétienne,,,Permitted work (permission simple)
spbk0010149,"Exercice[s] de piété contenant le mois de mai, ou le mois de Marie",,,Permitted work (permission simple)
spbk0010150,"Exercices de l'âme, par l'abbé Clément",,,Permitted work (permission simple)
spbk0010151,Exercices de piété pour passer saintement tous les jours de sa vie,,,Permitted work (permission simple)
spbk0010152,Exercices du pénitent,,,Permitted work (permission simple)
spbk0010153,Exercices dur les sacremens de pénitence,,,Permitted work (permission simple)
spbk0010154,Exercices spirituels pour les pensionnaires des religieuses ursulines,,,Permitted work (permission simple)
spbk0010155,"Exhortations aux malades en leur administrant le saint viatique, par Pontas",,,Permitted work (permission simple)
spbk0010156,"Exhortations pour le baptême, les fiançailles, [le mariage et la bénédiction du lit nuptial, tirées de l'écriture et des pères], etc., par Pontas",,,Permitted work (permission simple)
spbk0010157,"Explication abrégée des coutumes et cérémonies des Romains, trade [traduite] du latin de Nieuport",,,Permitted work (permission simple)
spbk0010158,Explication des premières vérités de la religion,,,Permitted work (permission simple)
spbk0010159,"Exposition de la doctrine chrétienne, ou Instructions sur les ppales [principales] vétités de la religion où l'on traité d'étudier la religion, et des fins de l'espérance",,,Permitted work (permission simple)
spbk0010160,Faciles aditus ad linguam lat[inam],,,Permitted work (permission simple)
spbk0010161,Ferventes aspirations à dieu,,,Permitted work (permission simple)
spbk0010162,"Flambeau (le) des comptoirs, par M. Giraudeau",,,Permitted work (permission simple)
spbk0010163,Flambeau de la mer,,,Permitted work (permission simple)
spbk0010164,Formulaire de prières chrétiennes,,,Permitted work (permission simple)
spbk0010165,"Formulaire de prières chrétiennes, etc. à l'usage des Ursulines",,,Permitted work (permission simple)
spbk0010166,"Formulaire de prières pour passer saintemente la journée, etc",,,Permitted work (permission simple)
spbk0010167,Gémissements d'une âme pénitente tirés de l'écriture sainte et des saints pères,,,Permitted work (permission simple)
spbk0010168,Géographie dédiée à Mlle Crozat,,,Permitted work (permission simple)
spbk0010169,"Governement civil, par Locke, tradon [traduction] anglaise",,,Permitted work (permission simple)
spbk0010170,Graduel et autres livres de chant de la Feuillée,,,Permitted work (permission simple)
spbk0010171,Graduel romain pour les laïques,,,Permitted work (permission simple)
spbk0010172,"Grammaire anglaise, de Tho. Berry",,,Permitted work (permission simple)
spbk0010173,Grammaire grecque de Clenard,,,Permitted work (permission simple)
spbk0010174,Grammaire hébraïque de feu M. l'abbé Ladvocat,,,Permitted work (permission simple)
spbk0010175,"Grammaire latine et françoise, première et seconde partie, par M. de Than [ 'Dethan?' or 'de Thou']",,,Permitted work (permission simple)
spbk0010176,Grammatica hebraïca a punctis [or quinctis] aliisque inventis Massorethicis libera ,,,Permitted work (permission simple)
spbk0010177,Heures à l'usage d'Amiens et de Rome,,,Permitted work (permission simple)
spbk0010178,Heures à trois offices,,,Permitted work (permission simple)
spbk0010179,Heures de cour,,,Permitted work (permission simple)
spbk0010180,Heures de la congrégation de l'immaculée conception,,,Permitted work (permission simple)
spbk0010181,Heures de la congrégation des filles,,,Permitted work (permission simple)
spbk0010182,Heures de notre dame à l'usage de Rennes,,,Permitted work (permission simple)
spbk0010183,Heures de notre dame à l'usage des écoles,,,Permitted work (permission simple)
